披露日,イベント名,簡略イベント名1,簡略イベント名2,会場,都道府県,曲順,曲名,曲名2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
2014/4/5,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day1,舞浜アンフィシアター,千葉,17,ショコラ・ティアラ,,大坪由佳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/5,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day1,舞浜アンフィシアター,千葉,18,Naked Romance,,津田美波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/5,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day1,舞浜アンフィシアター,千葉,19,S(mile)ING!,,大橋彩香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/5,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day1,舞浜アンフィシアター,千葉,20,アタシポンコツアンドロイド,,五十嵐裕美,高森奈津美,三宅麻理恵,大橋彩香,大坪由佳,津田美波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/5,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day1,舞浜アンフィシアター,千葉,21,ススメ☆オトメ ～jewel parade～,,佳村はるか,原紗友里,五十嵐裕美,高森奈津美,桜咲千依,三宅麻理恵,山本希望,松嵜麗,上坂すみれ,青木瑠璃子,赤﨑千夏,大橋彩香,大坪由佳,津田美波,福原綾香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/5,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day1,舞浜アンフィシアター,千葉,22,お願い！シンデレラ,,佳村はるか,原紗友里,五十嵐裕美,高森奈津美,桜咲千依,三宅麻理恵,山本希望,松嵜麗,上坂すみれ,青木瑠璃子,赤﨑千夏,大橋彩香,大坪由佳,津田美波,福原綾香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,1,お願い！シンデレラ,,佳村はるか,原紗友里,五十嵐裕美,高森奈津美,黒沢ともよ,山本希望,洲崎綾,松嵜麗,青木瑠璃子,早見沙織,大橋彩香,大坪由佳,津田美波,内田真礼,福原綾香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,2,ミツボシ☆☆★,,原紗友里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,3,DOKIDOKIリズム,,山本希望,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,4,TOKIMEKIエスカレート,,佳村はるか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,5,ましゅまろ☆キッス,,松嵜麗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,6,Romantic Now,,黒沢ともよ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,7,Orange Sapphire,,佳村はるか,原紗友里,黒沢ともよ,山本希望,松嵜麗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,8,アタシポンコツアンドロイド,,五十嵐裕美,高森奈津美,大橋彩香,大坪由佳,津田美波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,9,あんずのうた,,五十嵐裕美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,10,おねだりShall We ～?,,高森奈津美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,11,ショコラ・ティアラ,,大坪由佳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,12,Naked Romance,,津田美波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,13,S(mile)ING!,,大橋彩香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,14,輝く世界の魔法,,佳村はるか,原紗友里,五十嵐裕美,高森奈津美,黒沢ともよ,山本希望,洲崎綾,松嵜麗,青木瑠璃子,早見沙織,大橋彩香,大坪由佳,津田美波,内田真礼,福原綾香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,15,Nation Blue,,洲崎綾,青木瑠璃子,早見沙織,内田真礼,福原綾香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,16,Twilight Sky,,青木瑠璃子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,17,Never say never,,福原綾香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,18,ヴィーナスシンドローム,,洲崎綾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,19,華蕾夢ミル狂詩曲 ～魂ノ導～,,内田真礼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,20,こいかぜ,,早見沙織,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
